epoch,batch,loss
1,1,0.00021436151291709393
1,2,0.00014199456200003624
1,3,0.00013304293679539114
1,4,0.00017409912834409624
1,5,0.0002391809830442071
1,6,0.0007400666363537312
1,7,0.00019975552277173847
1,8,0.0003310762986075133
1,9,0.00024407006276305765
1,10,0.0008136982214637101
1,11,0.00013072889123577625
1,12,0.00021056033438071609
1,13,0.00012401198910083622
1,14,0.0004982474492862821
1,15,0.00036634228308685124
1,16,0.00018643488874658942
1,17,0.00016338615387212485
1,18,0.000331380550051108
1,19,0.00040576420724391937
1,20,0.00035778540768660605
1,21,0.0001849093969212845
1,22,0.0010927094845101237
1,23,0.00020307333033997566
1,24,0.00016995395708363503
1,25,0.0002797151973936707
1,26,0.00017589336493983865
1,27,0.00127434975001961
1,28,0.0002879052481148392
1,29,0.00024709515855647624
1,30,0.0002334019518457353
1,31,0.00041412850259803236
1,32,0.00038995619979687035
1,33,0.00016391021199524403
1,34,0.00022725469898432493
1,35,0.0001547839492559433
1,36,0.00031952367862686515
1,37,0.00015176215674728155
1,38,0.00013461592607200146
1,39,0.0001593123161001131
1,40,0.0002901781990658492
1,41,0.00018573661509435624
1,42,0.00017147492326330394
1,43,0.00022806668130215257
1,44,0.0002241035836050287
1,45,0.0009353565401397645
1,46,0.00042876580846495926
1,47,0.0003572376153897494
1,48,0.00032883568201214075
1,49,0.0010274489177390933
1,50,0.0004896181053481996
1,51,0.0003593233705032617
1,52,0.0001708712225081399
1,53,0.0001654590741964057
1,54,0.00015151115076150745
1,55,0.0002307195245521143
1,56,0.00027776832575909793
1,57,9.001153375720605e-05
1,58,0.0005001268582418561
1,59,0.0002223505434812978
1,60,0.00021579000167548656
1,61,0.00028412588289938867
1,62,0.0002451309992466122
1,63,0.00015064691251609474
1,64,0.00019374338444322348
1,65,0.00023296648578252643
1,66,0.00022749807976651937
1,67,0.0005103634321130812
1,68,0.00034091746783815324
1,69,0.0008315194863826036
1,70,0.0001738000282784924
1,71,0.0003585882077459246
1,72,0.00039688171818852425
1,73,0.00015704288671258837
1,74,0.0007978564244695008
1,75,0.000310859497403726
1,76,0.00046775941154919565
1,77,0.0003308095911052078
1,78,0.0009312911424785852
1,79,0.00041852728463709354
1,80,0.0009936497081071138
1,81,0.00018628996622283012
1,82,0.00031905481591820717
1,83,0.0004213190113659948
1,84,0.0003110354591626674
1,85,0.00037285126745700836
1,86,0.0001400335313519463
1,87,0.0001599086244823411
1,88,0.0003244256367906928
1,89,0.00013732712250202894
1,90,0.00020117498934268951
1,91,0.00019882248307112604
1,92,0.0005896943039260805
1,93,0.0004846701631322503
1,94,0.00046652532182633877
1,95,0.00020643438620027155
1,96,0.0002649071393534541
1,97,0.0002357390330871567
1,98,0.00029540268587879837
1,99,0.00036202475894242525
1,100,0.00024991718237288296
1,101,0.0001432999415555969
1,102,0.00022829351655673236
1,103,0.00041184507426805794
1,104,0.00010713888332247734
1,105,0.0003037088317796588
1,106,0.00030996117857284844
1,107,0.0001946744159795344
1,108,0.0007984237163327634
1,109,0.0007064605015330017
1,110,0.00010576288332231343
1,111,0.0007361003663390875
1,112,0.00020351378771010786
1,113,0.00013639814278576523
1,114,0.00023372506257146597
1,115,0.0004593026533257216
1,116,0.00022291096684057266
1,117,0.00019927253015339375
1,118,0.00040391224320046604
1,119,0.0006663126405328512
1,120,0.00028361057047732174
1,121,0.00019752142543438822
1,122,0.00016207840235438198
1,123,0.0004555679624900222
1,124,0.00034525536466389894
1,125,0.00023708234948571771
1,126,0.00014472413749899715
1,127,0.0002958409895654768
1,128,0.00012683800014201552
1,129,0.0003458977153059095
1,130,0.00023524672724306583
1,131,0.00029320246540009975
1,132,0.00037552928552031517
1,133,0.0001924636453622952
1,134,0.00012292858446016908
1,135,0.0006319262902252376
1,136,0.0001796995202312246
1,137,0.00022271664056461304
1,138,0.0005020117969252169
1,139,0.00016964775568339974
1,140,0.00015547381190117449
1,141,0.00035115901846438646
1,142,0.0005388114950619638
1,143,0.0003942660114262253
1,144,0.0005264568608254194
1,145,0.00020430276344995946
1,146,0.0014172772644087672
1,147,0.0002331693103769794
